college_name,student_name,mentor_name,department_name,academic_year,total_students,total_departments,total_faculty,year_of_study,student_count,faculty_count,student_faculty_ratio,avg_attendance_pct,hackathon_id,hackathon_name,hackathon_type,conducting_body,participation_level,mode,total_registered_students,total_participants,teams_formed,departments_participated,female_participation_pct,projects_submitted,projects_completed,shortlisted_projects,prizes_won_count,prize_level,problem_solving_score_avg,students_placed,placement_percentage,avg_package_lpa,highest_package_lpa,companies_visited,hackathon_to_placement_ratio,internships_offered,ppo_offers,lab_utilization_pct,software_tools_used,budget_allocated,budget_utilized,cost_per_student,repeat_participants_pct,dropout_from_hackathon,attendance_vs_participation_corr,academic_vs_hackathon_corr,month,quarter,year,yoy_participation_growth,yoy_placement_growth
Coimbatore Institute of Technology (CIT),Karthik Das 922,Dr. Amit V.,ECE,2023-24,3001,9,208,1,95,7,16.8,87,H003,Industry CodeFest,External,Company,State,Online,95,69,4,3,15,9,9,8,0,State,82,196,84,6.8,11.7,28,0.44,5,5,82,AutoCAD,37,27,18527,41,6,0.49,0.44,July,Q3,2022,19,7
Amrita Vishwa Vidyapeetham,Arjun Sharma 784,Dr. Suresh T.,PHARMACY,2023-24,3787,9,259,1,152,15,11.9,72,H003,Industry CodeFest,External,Company,State,Online,104,44,12,3,24,6,14,4,3,National,65,124,62,4.8,12.5,39,0.64,9,5,89,MATLAB,30,47,21216,37,10,0.72,0.74,January,Q2,2022,15,16
Kumaraguru College of Technology,Karthik Reddy 496,Dr. Sunita M.,CHEMICAL,2024-25,3970,9,220,1,114,13,14.0,90,H001,Smart India Hackathon,External,Government,National,Offline,38,48,7,4,45,20,10,9,3,,71,86,48,6.6,9.5,11,0.73,14,5,82,Embedded,24,42,21252,49,11,0.84,0.74,January,Q1,2024,25,14
Vellore Institute of Technology (VIT),Meera Iyer 185,Dr. Sunita M.,ECE,2022-23,3429,9,180,3,127,14,17.6,86,H002,College Innovation Hackathon,Internal,College,College,Online,100,53,23,7,22,7,13,2,0,National,75,34,47,9.1,22.9,36,0.7,20,1,70,Embedded,25,23,26991,51,5,0.84,0.61,March,Q2,2025,22,9
SRM Institute of Science and Technology,Meera Kumar 213,Prof. Venkatesh R.,CHEMICAL,2024-25,3994,9,205,4,139,12,20.0,90,H001,Smart India Hackathon,External,Government,National,Offline,76,81,17,3,25,10,4,5,0,State,78,86,40,3.9,18.7,17,0.33,7,10,59,Embedded,35,35,25960,51,9,0.67,0.69,September,Q2,2025,18,10
IIT Madras,Meera Nair 920,Prof. Aruna D.,ECE,2023-24,3225,9,234,1,165,13,18.6,71,H003,Industry CodeFest,External,Company,State,Online,27,66,13,9,16,10,8,3,3,State,73,76,57,6.3,22.9,12,0.52,40,3,58,Embedded,20,23,27346,35,8,0.61,0.59,September,Q1,2023,17,4
Vellore Institute of Technology (VIT),Meera Iyer 410,Dr. Suresh T.,PHARMACY,2023-24,3366,9,251,3,184,8,11.9,76,H002,College Innovation Hackathon,Internal,College,College,Online,94,84,4,8,30,4,3,9,3,State,61,160,45,8.6,9.2,12,0.64,20,12,62,Embedded,35,55,24740,22,5,0.62,0.63,July,Q3,2023,15,11
Anna University,Karthik Verma 703,Prof. Aruna D.,CHEMICAL,2024-25,3821,9,218,4,177,11,19.3,72,H001,Smart India Hackathon,External,Government,National,Online,78,94,21,3,14,20,8,8,2,State,89,119,44,8.8,14.3,15,0.52,39,9,94,Embedded,20,53,19905,26,7,0.56,0.76,March,Q3,2024,24,10
Coimbatore Institute of Technology (CIT),Priya Iyer 861,Prof. Lakshmi S.,PETROLEUM,2024-25,3040,9,244,2,185,10,19.1,71,H003,Industry CodeFest,External,Company,State,Online,101,69,11,3,10,13,6,10,2,State,83,143,75,7.7,17.5,13,0.34,14,1,78,Embedded,55,27,22041,28,4,0.57,0.76,January,Q3,2023,12,7
Vellore Institute of Technology (VIT),Arjun Verma 834,Dr. Sunita M.,PETROLEUM,2024-25,2816,9,210,4,101,8,18.8,70,H003,Industry CodeFest,External,Company,State,Online,114,57,16,9,25,11,7,1,3,College,87,150,54,4.7,23.6,21,0.45,19,7,56,MATLAB,45,39,19564,24,11,0.59,0.6,July,Q1,2022,13,9
